Model,Region,RMSE,MAPE
Dist Lambda,NO1,50.03828489,20.99
Dist Lambda,NO3,1.097195867,5.75
Dist Lambda,NO5,48.91381597,21.15
Dist Lambda,SE1,13.87836524,85.98
Dist Lambda,SE3,102.3456065,127.7
Dist Lambda,SE4,113.6188992,150.46
Dist Lambda,DK1,176.0523171,3662.27
Dist Lambda,DK2,174.6361735,266.97
LSTM,NO1,29.52300258,11.9
LSTM,NO3,1.55350831,8.41
LSTM,NO5,33.86466538,13.39
LSTM,SE1,6.010776267,29.51
LSTM,SE3,109.8452944,105.45
LSTM,SE4,102.2107684,115.45
LSTM,DK1,163.9034685,3528.07
LSTM,DK2,179.1813567,112.71
SARIMA,NO1,154.1818986,44.78066851
SARIMA,NO3,26.07103365,173.8937012
SARIMA,NO5,156.132551,45.67435467
SARIMA,SE1,57.41022624,342.7060239
SARIMA,SE3,369.3705731,652.204409
SARIMA,SE4,911.9757225,1569.43354
SARIMA,DK1,440.076518,10840.11255
SARIMA,DK2,465.1709727,677.1311893
Historical average,NO1,122.4345037,69.50783912
Historical average,NO3,19.714497,89.4466155
Historical average,NO5,120.8995583,69.51610078
Historical average,SE1,26.33479736,89.3834778
Historical average,SE3,112.1247972,76.24773746
Historical average,SE4,118.277126,79.87433181
Historical average,DK1,151.9717543,inf
Historical average,DK2,150.8816881,447.9740294